"Read Details",Подробнее,module,Magento_AdminNotification
"Mark as Read","Пометить как прочитанное",module,Magento_AdminNotification
"Are you sure?","Вы уверены?",module,Magento_AdminNotification
Remove,Удалить,module,Magento_AdminNotification
"Messages Inbox","Входящие сообщения",module,Magento_AdminNotification
"You have %1 new system messages","У вас есть новые системные сообщения %1",module,Magento_AdminNotification
"You have %1 new system message","У вас есть %1 новое системное сообщение",module,Magento_AdminNotification
"Incoming Message","Входящее сообщение",module,Magento_AdminNotification
close,закрыть,module,Magento_AdminNotification
Notifications,Уведомления,module,Magento_AdminNotification
"The message has been marked as Read.","Сообщение было помечено как прочитанное.",module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.","Мы не можем пометить уведомление как прочитанное из-за ошибки.",module,Magento_AdminNotification
"Please select messages.","Пожалуйста, выберите сообщения.",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","%1 записи(ей) было помечено как прочитанные.",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","%1 запись(и) была(и) удалены.",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.","Мы не cмогли удалить сообщения из-за ошибки.",module,Magento_AdminNotification
"The message has been removed.","Сообщение было удалено.",module,Magento_AdminNotification
"1 Hour","1 час",module,Magento_AdminNotification
"2 Hours","2 часа",module,Magento_AdminNotification
"6 Hours","6 часов",module,Magento_AdminNotification
"12 Hours","12 часов",module,Magento_AdminNotification
"24 Hours","24 часа",module,Magento_AdminNotification
critical,критично,module,Magento_AdminNotification
major,важно,module,Magento_AdminNotification
minor,обычно,module,Magento_AdminNotification
notice,уведомление,module,Magento_AdminNotification
"Wrong message type","Неправильный тип сообщения",module,Magento_AdminNotification
"Wrong notification ID specified.","Указан неправильный идентификатор уведомления.",module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} не рекомендуется использовать в производственной среде для обьявления небезопасного Base URL / Base Secure URL. Настоятельно рекомендуется изменить это значение в вашем Magento <a href=""%1""> конфигурации</a>.",module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Пожалуйста, перейдите на <a href=""%1""> управления кэшем </a> и обновления типов кэша.",module,Magento_AdminNotification
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Нам не удалось синхронизировать один или несколько медиа-файлов. Пожалуйста, обратитесь к log файлу для подробной информации.",module,Magento_AdminNotification
"Synchronization of media storages has been completed.","Синхронизация медиа хранилищ была завершена.",module,Magento_AdminNotification
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Ваш веб-сервер настроен неправильно и разрешает несанкционированный доступ к важным файлам. Пожалуйста, свяжитесь с хостинг-провайдером.",module,Magento_AdminNotification
"System Messages:","Системные сообщения:",module,Magento_AdminNotification
"Critical System Messages","Критичные системные сообщения",module,Magento_AdminNotification
"Major System Messages","Основные системные сообщения",module,Magento_AdminNotification
"System messages","Системные сообщения",module,Magento_AdminNotification
Close,Закрыть,module,Magento_AdminNotification
"See All (","Просмотреть все (",module,Magento_AdminNotification
"Please correct the data sent.","Пожалуйста, исправьте отправленные данные.",module,Magento_AdvancedPricingImportExport
"Entity type model '%1' is not found","Введеный тип модели '%1' не найден",module,Magento_AdvancedPricingImportExport
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Модель типа сущности должна быть \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType",module,Magento_AdvancedPricingImportExport
"There are no product types available for export","Нет типов продуктов, доступных для экспорта",module,Magento_AdvancedPricingImportExport
"We can't find the role for the user you wanted.","Мы не можем определить права запрошенного пользователя.",module,Magento_Authorization
